symbol	GSM1301444	GSM1301445	GSM1301446	GSM1301447	GSM1301448	GSM1301449	GSM1301450	GSM1301451	GSM1301452	GSM1301453	GSM1301454	GSM1301455	GSM1301456	GSM1301457	GSM1301458	GSM1301459	GSM1301460	GSM1301461
MYO7A	8.016076	8.4962155	7.6184398	9.5254335	7.479097	6.93329896666667	8.3568722	7.71783585	7.7432785	6.87788752777778	7.6427845	8.61910615	9.17579475	8.44262526944445	7.518356	6.69411815	9.02344418888889	7.68896435
MYO7B	8.14624	6.62957105	5.486329	7.269562	6.2389393	6.4393983	6.217766	7.9361987	5.5938416	5.3605623	7.202067	6.8387094	7.6217275	6.661871	5.112775	6.2132683	6.012907	6.6539507
MYO9A	10.8692665	10.3191515	9.9025595	11.0003795	10.4230513611111	10.502246	10.012651	11.0167535	10.8796685	10.539062	10.8764335	10.6797115	10.7729555	10.7106615	11.124606	10.7135995	10.68349575	10.912675
MYO9B	11.045341	10.44255025	10.5391325	10.769264	10.9643081388889	10.84109675	10.1207627	10.655269	10.69877075	9.9340305	10.12435475	10.5548226111111	12.128057	10.77533	10.205847	10.2830685	10.6138675	10.58369175
MYOC	2.6297657	2.7062993	3.1508133	5.039324	3.7207835	2.7250447	4.03964	2.633832	4.7213693	4.978386	2.6350963	2.6730087	2.6682177	2.6932418	4.1580315	3.4895444	3.188958	2.727553
MYOCD	4.3309736	4.5448933	3.503499	4.67372	3.6459029	3.403791	5.1256824	3.54017105555556	3.0918484	2.8294866	3.541413	2.8050003	3.7776759	2.7815912	3.0185435	2.7744598	3.3532588	4.677039
MYOD1	9.209381	8.940125	8.911943	8.952794	8.391952	8.93753	8.17450555555556	8.677654	8.607463	8.39459416666667	8.596654	8.157468	8.893146	8.548607	8.063126	8.287514	8.628742	9.048077
MYOF	11.073935	11.8567523888889	12.2822513333333	11.5924736666667	11.4239371	11.5719033333333	10.6829233333333	10.7981396666667	11.7865698333333	11.5369242333333	10.5634032	11.299870562963	12.7560206666667	11.2087216666667	10.6081115740741	12.6450006666667	11.1546983703704	11.0835686907407
MYOG	10.13230375	8.479083	10.22112	9.57275047222222	8.612316375	12.2425335	7.1594275	8.8745905	7.9632638	7.54137356666667	8.57936325	7.4315801	7.83913025	7.47662800555556	7.0850362	7.29217825	8.0924815	10.3341934166667
MYOM1	6.5437345	6.34580135	5.59866475	6.5098612	6.5541489	6.0689975	5.44936163888889	6.6290786	6.1848495	7.19289365	5.73140525	5.83455215	7.09762975	6.93321275	6.75598145	5.3650771	6.4745989	7.023095
MYOM2	7.9010663	7.338418	5.1609774	7.5444217	10.735067	7.800867	11.026347	7.4482365	7.1760173	10.299564	9.353088	8.30172523611111	8.396571	7.5817704	10.933349	8.987901	8.992015	9.046017
MYOM3	3.9263229	4.2017363	4.63707725	3.80196285	6.59246465	6.3105822	5.70714625	4.76187376111111	6.67088665	4.5426675	4.09130525	4.0057985	4.7421242	4.0203471	5.2863415	6.43983290555555	4.7487475	4.1010586
MYOT	3.830403	3.0425735	3.4404979	4.061706	3.55677493888889	3.773392	4.1136656	4.2326345	3.2828054	2.9618433	4.0785394	4.819165	3.6474888	4.500712	4.2380805	2.897695	5.2942657	4.3571377
MYOZ1	5.021488	4.981838	5.7963414	5.074766	4.954845	5.1249995	6.215001	5.322396	5.4248977	6.53457825	5.127275	4.43372438888889	5.565731	4.789811	4.9850936	6.700876	5.872639	5.068392
MYOZ2	5.76390362222222	6.25480038888889	6.2716585	5.0231617	6.9070187	4.6622549	5.89916415	4.94349195	4.08150635	4.05130515	3.19866535	6.406183825	4.5165923	7.1412135	7.033572	4.8532181	5.5372277	4.4311521
MYOZ3	8.5802755	8.14718725833333	7.757959	8.6686745	7.5147297	9.20742725	7.24041325	8.3714165	7.8993985	7.587753025	8.4635425	7.388198	8.502789	7.8113725	7.78624965	6.8869672	7.9446785	8.22295725
MYPN	4.80220545	4.9568458	4.42553115	3.67250405	3.78025756666667	6.29045295	3.11107165	5.72321715	5.68545618055555	4.5717545	4.12424075	2.8605567	3.865256	3.81614695	5.00088715	5.17728245	4.09333077777778	4.2383967
MYPOP	11.670041	11.0611055	11.86086575	11.13396175	11.146312	11.9859797222222	10.547797	11.101886	10.819503	10.627959	11.125149	10.6596595	10.21730025	10.7702335	10.5269905	10.3643828263889	10.952994	11.7947355
MYRIP	8.814387	6.9959	8.055208	7.692216	6.8618016	8.0244875	5.5437193	8.83070066666667	7.0858927	5.584374	9.00141	8.063126	4.746323	7.626433	7.3489447	8.148586	7.237008	8.7484255
MYSM1	9.030635	8.570319	9.137826	8.71475	9.517488	9.225027	8.886443	9.171398	8.672526	9.532821	8.837669	9.265924	10.017466	9.296239	9.44438	8.7903345	8.978438	9.23946
MYT1	4.576979	2.6602378	2.64417617222222	5.308235	3.5359638	2.7525225	4.343634	5.3697963	4.12734125277778	7.1786275	6.936846	2.6448338	2.65649	4.6689844	2.6414065	2.6532226	2.6456554	2.64202307777778
MYT1L	3.84280655	3.59828803888889	3.72718596111111	4.00056575	3.4095545	3.69781415	3.15008095	3.7196374	5.39507135833333	3.4200269	3.4134946	3.8742343	3.5980369	2.895343625	2.89434409722222	3.3664232	3.083789	3.0680467
MYZAP	5.3835387	5.277514	6.6730585	5.384951	6.6534395	8.014348	5.8068223	6.2299933	8.172539	6.3619566	6.5428953	6.275982	4.326381	6.3949575	6.292516	9.750816	5.7162986	6.256522
